,Agua Clara,Alcinopolis,Amambai,Anastacio,Anaurilandia,Angelica,Antonio Joao,Aparecida do Taboado,Aquidauana,Aral Moreira,Bandeirantes,Bataguassu,Bataypora,Bela Vista,Bodoquena,Bonito,Brasilandia,Caarapo,Camapua,Campo Grande,Caracol,Cassilandia,Chapadao do Sul,Corguinho,Coronel Sapucaia,Corumba,Costa Rica,Coxim,Deodapolis,Dois Irmaos do Buriti,Douradina,Dourados,Eldorado,Fatima do Sul,Figueirao,Gloria de Dourados,Guia Lopes da Laguna,Iguatemi,Inocencia,Itapora,Itaquirai,Ivinhema,Japora,Jaraguari,Jardim,Jatei,Juti,Ladario,Laguna Carapa,Maracaju,Miranda,Mundo Novo,Navirai,Nioaque,Nova Alvorada do Sul,Nova Andradina,Novo Horizonte do Sul,Paraiso das Aguas,Paranaiba,Paranhos,Pedro Gomes,Ponta Pora,Porto Murtinho,Ribas do Rio Pardo,Rio Brilhante,Rio Negro,Rio Verde de Mato Grosso,Rochedo,Santa Rita do Pardo,Sao Gabriel do Oeste,Selviria,Sete Quedas,Sidrolandia,Sonora,Tacuru,Taquarussu,Terenos,Tres Lagoas,Vicentina
Novo Horizonte do Sul,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,62,inf,inf,inf,inf,inf,53,inf,inf,inf,66,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Paraiso das Aguas,207,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,159,inf,inf,inf,63,inf,inf,inf,71,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Paranaiba,inf,inf,inf,inf,inf,inf,inf,61,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,109,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,101,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Paranhos,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,53,inf,inf,66,inf,inf,inf,inf
Pedro Gomes,inf,121,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,64,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,82,inf,inf,inf,inf,inf
Ponta Pora,inf,inf,inf,inf,inf,inf,58,inf,inf,60,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,129,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,76,152,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Porto Murtinho,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,206,inf,inf,inf,inf,123,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,235,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Ribas do Rio Pardo,119,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,137,118,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,176,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Rio Brilhante,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,85,inf,36,71,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,88,inf,inf,inf,inf,53,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Rio Negro,inf,inf,inf,inf,inf,inf,inf,inf,183,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,78,inf,inf,60,inf,inf,inf,inf,inf,inf,inf,inf,inf
Rio Verde de Mato Grosso,inf,inf,inf,inf,inf,inf,inf,inf,257,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,63,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,78,0,inf,inf,78,inf,inf,inf,inf,inf,inf,inf,inf,inf
Rochedo,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,72,inf,inf,inf,inf,inf,inf,inf,inf,79,inf,inf,inf,21,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,71,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Santa Rita do Pardo,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,82,inf,inf,inf,inf,108,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,176,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Sao Gabriel do Oeste,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,82,inf,inf,inf,inf,inf,inf,inf,72,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,60,78,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf
Selviria,inf,inf,inf,inf,inf,inf,inf,59,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,72,inf
Sete Quedas,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,85,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,53,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,48,inf,inf,inf,inf
Sidrolandia,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,83,inf,inf,inf,inf,inf,inf,inf,inf,inf,56,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,102,inf,inf,inf,inf,111,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf
Sonora,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,135,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,82,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf
Tacuru,inf,inf,82,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,60,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,66,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,48,inf,inf,0,inf,inf,inf,inf
Taquarussu,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,30,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,36,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf
Terenos,inf,inf,inf,inf,inf,inf,inf,inf,125,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,32,inf,inf,inf,inf,inf,inf,inf,inf,inf,68,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf
Tres Lagoas,167,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,82,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,156,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,72,inf,inf,inf,inf,inf,inf,0,inf
Vicentina,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,60,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,56,inf,11,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,21,69,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0
